"","logFC","logCPM","F","PValue","diffexpressed"
"ENSG00000007080",0.0177092708191783,6.33200495638709,0.143951077634934,0.704505871613523,"NO"
"ENSG00000007129",-0.0700041088343179,1.10884522530717,0.527221654730103,0.46803375007662,"NO"
"ENSG00000007168",-0.506939922520045,7.88532181395549,242.513420185938,7.98031896233749e-47,"NO"
"ENSG00000007171",3.37846421120182,3.5637143979745,426.774806997721,1.4663032616203e-73,"UP"
"ENSG00000007174",2.09091090587292,3.94790821294976,378.787230645641,4.59942632473614e-67,"UP"
"ENSG00000007202",-0.149828491556275,6.89984994724697,22.1895044057414,3.01101094098334e-06,"NO"
"ENSG00000007237",-0.190656477796011,7.71485819653409,3.44345168346401,0.063946993092185,"NO"
"ENSG00000007255",-0.347515653116173,4.07452642095137,35.3389103111917,4.48113377093457e-09,"NO"
"ENSG00000007264",-1.32835833084114,3.28517819668163,87.2862635654551,1.40799152588543e-19,"DOWN"
"ENSG00000007312",1.57114378753059,-1.52148812180513,142.626669127675,6.52616997806476e-30,"UP"
"ENSG00000007314",2.79628084177869,-1.24679916655787,305.877338479416,1.35566983717104e-56,"UP"
"ENSG00000007341",0.247323111085182,3.45560287959493,63.7050862916379,6.38390570391183e-15,"NO"
"ENSG00000007350",-0.537988016077393,2.00211589433997,9.48828425163104,0.00215352566825107,"NO"
"ENSG00000007372",-0.156040678536976,4.49410791396626,3.27125654125697,0.070957039498725,"NO"
"ENSG00000007376",0.0510076626175574,4.6882813547307,1.41672463559868,0.234369652192801,"NO"
"ENSG00000007384",1.04971862530475,4.4756051797817,148.21205906202,6.51997072830034e-31,"UP"
"ENSG00000007392",-0.332799068846752,6.34591700993352,27.003487399011,2.70793877076159e-07,"NO"
"ENSG00000007402",-1.17767034858754,3.30511474040384,154.200029992545,5.60461825701517e-32,"DOWN"
"ENSG00000007516",-0.199014959264055,6.31730353789448,2.7210180921446,0.0995090573491183,"NO"
"ENSG00000007520",-0.240034536546006,5.48237681228555,32.2227221346868,2.05712428696585e-08,"NO"
"ENSG00000007541",-0.102604251875748,5.76549302021567,4.55646752285489,0.0331610755147088,"NO"
"ENSG00000007545",-0.596673262453721,4.59155673421131,214.159517982095,3.16921118075705e-42,"NO"
"ENSG00000007866",2.39764535627118,2.81720699010151,651.262623612651,1.43680914965019e-100,"UP"
"ENSG00000007908",-0.378993405305397,0.167544593715707,2.05890091928675,0.151791373560168,"NO"
"ENSG00000007923",-0.316167817238433,4.91153348224594,70.6386290799382,2.62027046252881e-16,"NO"
"ENSG00000007933",0.321351968277718,0.8848209459847,9.20607188814523,0.00250656321792722,"NO"
"ENSG00000007944",-0.672045904004057,4.20135045974322,127.164093923953,4.21384384377676e-27,"NO"
"ENSG00000007952",-0.0939026447915234,0.637625483447061,3.16535213235491,0.0756746758250605,"NO"
"ENSG00000007968",0.449368583847029,2.50324545180998,9.44692270480625,0.00220192544775504,"NO"
"ENSG00000008018",0.486934389448396,6.88362390359918,100.220487827704,4.59329003139101e-22,"NO"
"ENSG00000008056",-1.07875777195607,6.1945100391961,51.3868460320404,2.03135138485273e-12,"DOWN"
"ENSG00000008083",-0.914063995553604,5.24472541547903,414.638447241969,5.98620187141454e-72,"NO"
"ENSG00000008086",-0.966109635240881,4.89497600387354,73.2040772544394,8.11480580904567e-17,"NO"
"ENSG00000008118",-0.911665771711319,3.44006573558762,17.4380518642954,3.36534741466522e-05,"NO"
"ENSG00000008128",-0.0969430231642208,0.539788889948869,1.70286541326078,0.192366795059286,"NO"
"ENSG00000008130",0.236163588629375,5.79731922147572,64.4829885066634,4.45392325420077e-15,"NO"
"ENSG00000008196",3.42734681586228,-0.196351278933836,127.032181473389,4.46213764994241e-27,"UP"
"ENSG00000008226",0.205802454491945,2.69416198679833,2.58264460629755,0.108517689114462,"NO"
"ENSG00000008256",0.181579122163463,5.76917636936073,29.341341236803,8.50069211569896e-08,"NO"
"ENSG00000008277",-1.4208358567759,7.04748231267417,510.445706221617,3.1393848271136e-84,"DOWN"
"ENSG00000008282",0.677815066237247,6.55923725707665,152.957686918344,9.30147276195142e-32,"NO"
"ENSG00000008283",0.872211766163242,4.5848471709473,111.956515294689,2.79032201401441e-24,"NO"
"ENSG00000008294",-0.832228219439082,8.37873671411707,393.010676273571,5.03653419456629e-69,"NO"
"ENSG00000008300",-1.0070786253216,5.89236111942713,101.258130735696,2.91794605057182e-22,"DOWN"
"ENSG00000008311",-0.145947341830837,5.95849390962151,5.19833747237324,0.0229255861127599,"NO"
"ENSG00000008323",1.16160577710344,-1.6733130745724,80.7847732192718,2.6041195929895e-18,"UP"
"ENSG00000008324",-0.07793163521784,4.05557035018352,2.85987958663823,0.0912846771883536,"NO"
"ENSG00000008382",-0.332170600322519,3.40932190684622,61.9873849412717,1.4158127808914e-14,"NO"
"ENSG00000008394",0.477986791668914,6.07885876919683,20.7167533904135,6.33590017071172e-06,"NO"
"ENSG00000008405",0.420915081754732,5.19414719507002,96.1673433299048,2.73064420490261e-21,"NO"
"ENSG00000008438",0.705582073923318,-2.81815399222824,26.5826361746756,3.33808774051912e-07,"NO"
"ENSG00000008441",-0.636709594705586,9.19727864737312,139.421942133802,2.46837062936986e-29,"NO"
"ENSG00000008513",0.259483331866732,4.54731780226053,17.0411058853361,4.12519395096139e-05,"NO"
"ENSG00000008516",1.39184428790382,1.69622629086894,191.470524222832,1.95672076427385e-38,"UP"
"ENSG00000008517",1.4848281464886,3.55490318523243,136.588934026492,8.05164793274994e-29,"UP"
"ENSG00000008710",-0.0727304146793743,6.79489501748423,1.13276904233985,0.287573391233671,"NO"
"ENSG00000008735",-1.22655206680106,6.7949178214278,193.205689028749,9.98529477019862e-39,"DOWN"
"ENSG00000008838",-0.379058363843971,6.93746976363281,135.857932122112,1.09083976341526e-28,"NO"
"ENSG00000008853",-0.285183028483443,5.42805580234595,23.5879141324731,1.49054195108397e-06,"NO"
"ENSG00000008869",-0.511710944506657,5.4580272745784,181.360914755249,1.03223798614304e-36,"NO"
"ENSG00000008952",-0.245536273611745,7.72215267392095,58.9676672168821,5.77402058982324e-14,"NO"
"ENSG00000008988",-0.325990562173813,9.16297414579121,34.2979320214445,7.44707995057248e-09,"NO"
"ENSG00000009307",-0.253840937817154,8.67824591915172,86.5170521934496,1.98421636946205e-19,"NO"
"ENSG00000009335",0.419946112831193,6.1814306760794,162.778502659583,1.71937312825466e-33,"NO"
"ENSG00000009413",-0.503944969306028,5.98084323951312,51.7950285416978,1.6750294863898e-12,"NO"
"ENSG00000009694",0.92014493218797,4.0925427240878,51.2871057674423,2.12942180655465e-12,"NO"
"ENSG00000009709",0.928217215477843,-0.237488278205477,14.7867883362782,0.000131993862165426,"NO"
"ENSG00000009724",-0.326945476091835,1.44602319378585,19.1997846371404,1.3684921619823e-05,"NO"
"ENSG00000009780",0.236430722514198,3.91359331026819,37.1717775471264,1.83722754778133e-09,"NO"
"ENSG00000009790",0.273368288515444,1.49710623931941,9.58631327949493,0.00204306451665379,"NO"
"ENSG00000009830",-0.185790185395572,5.80741486656689,19.6729343649889,1.07580079789e-05,"NO"
"ENSG00000009844",-0.140735445328729,5.92572641031156,17.3541098259695,3.51318115525591e-05,"NO"
"ENSG00000009950",-0.33727547469017,3.41234045892151,10.7674408217483,0.00108723006990315,"NO"
"ENSG00000009954",0.158811822999242,7.1746212772727,17.6200063217942,3.06569782283313e-05,"NO"
"ENSG00000010017",0.271775807648439,5.5888854693047,60.1700679740495,3.29637661916702e-14,"NO"
"ENSG00000010030",2.59868323229371,0.729000185404759,501.27718297543,4.20777571364654e-83,"UP"
"ENSG00000010072",0.102256762534786,3.79438844329503,10.2268346112474,0.00145003868505841,"NO"
"ENSG00000010165",-0.0785771604445414,5.53196011246597,8.45677238159023,0.00375858984988217,"NO"
"ENSG00000010219",0.0749592146821665,4.34369102749296,2.13885878440764,0.144082953337592,"NO"
"ENSG00000010244",0.237987275978959,6.8834548144276,85.244590255136,3.50724720732002e-19,"NO"
"ENSG00000010256",0.266997504504636,7.46907833101013,39.9356231563086,4.81959672407869e-10,"NO"
"ENSG00000010270",0.753819949645193,6.27357032166466,350.023823025514,5.00450811310992e-63,"NO"
"ENSG00000010278",0.629201459991255,7.88635942492329,71.8789221725284,1.48626228688209e-16,"NO"
"ENSG00000010282",-0.522136940488187,4.17323907149254,12.9586633838484,0.000342232190252967,"NO"
"ENSG00000010292",0.040214575232671,6.09506169905811,0.470534829002415,0.492981278925667,"NO"
"ENSG00000010295",0.238146474606531,5.5665062596993,27.0918773267281,2.59133805267013e-07,"NO"
"ENSG00000010310",-1.08390555334066,0.821893632304837,67.0217295714684,1.38015326035195e-15,"DOWN"
"ENSG00000010318",-0.0438022546466779,2.1601313959408,0.777784283867761,0.378139542071073,"NO"
"ENSG00000010319",-1.13363294043402,3.95109355793044,108.846922972786,1.07039556812511e-23,"DOWN"
"ENSG00000010322",-0.544164209229281,7.48903453923116,197.942883912004,1.58426795844292e-39,"NO"
"ENSG00000010327",0.445893516854168,6.64826233168098,17.8567900980443,2.71585837245129e-05,"NO"
"ENSG00000010361",0.0490370913807015,4.63387269446814,1.16141022950291,0.281565555714508,"NO"
"ENSG00000010379",-0.5692701037524,1.62765492500854,24.2227422957876,1.08423780306236e-06,"NO"
"ENSG00000010404",-0.147372854681787,4.16883449549764,1.87829747500196,0.170992150747769,"NO"
"ENSG00000010438",-0.290271061073857,1.24009015123426,3.83051686521787,0.0507471335807509,"NO"
"ENSG00000010539",0.402667269456619,3.29588068118326,192.224862159393,1.45834127249831e-38,"NO"
"ENSG00000010610",0.330738989013923,6.05825275591957,15.5847747022943,8.73291544066041e-05,"NO"
"ENSG00000010626",0.00528737940723185,4.72587088265999,0.00515722603960488,0.942771750302609,"NO"
"ENSG00000010671",0.281023533354356,3.44415733218849,11.227201135213,0.000851851500476873,"NO"
"ENSG00000010704",2.14537493437437,2.69386270275971,817.908609399941,8.97309793115091e-118,"UP"
"ENSG00000010803",0.301097576337658,4.67570413448546,90.8960000942501,2.81695689426173e-20,"NO"
"ENSG00000010810",-0.483066653543051,8.63658745026548,108.200232620194,1.41514961460954e-23,"NO"
"ENSG00000010818",-0.430381323907195,5.67124750302822,33.7713610140581,9.63430703747204e-09,"NO"
"ENSG00000010932",2.74812359287399,-0.941810693648185,328.946708856579,5.42893884814215e-60,"UP"
"ENSG00000011007",-0.17279096517021,5.59128198072913,37.0987045864618,1.90358585428417e-09,"NO"
"ENSG00000011009",0.152535299981599,5.15737769077144,11.836126909126,0.000617394327247289,"NO"
"ENSG00000011021",-0.842898476026987,6.31670608680861,448.932742637439,1.81192652937744e-76,"NO"
"ENSG00000011028",1.77795983234509,6.6746743094618,398.827050792538,8.20020233618291e-70,"UP"
"ENSG00000011083",-1.77240264535486,2.71435226130783,49.9260403178278,4.05551856099047e-12,"DOWN"
"ENSG00000011105",0.557513942505791,4.98728519031713,69.7894736345841,3.86852469175115e-16,"NO"
"ENSG00000011114",-0.324801519933723,5.05762512538862,56.4933123708281,1.83641596687686e-13,"NO"
"ENSG00000011132",0.417674010369516,4.03801113469761,79.8417307376327,3.98575985265654e-18,"NO"
"ENSG00000011143",0.0879322456558614,4.25765062805683,5.22002448211901,0.0226435678630925,"NO"
"ENSG00000011198",0.0904563060016279,5.27237314139695,5.02847587704537,0.0252638581112468,"NO"
"ENSG00000011201",-0.621914523718452,6.60916500301226,42.8819383318043,1.1670118793396e-10,"NO"
"ENSG00000011243",-0.340082339496563,5.410601138253,63.4944024441115,7.0382314015405e-15,"NO"
"ENSG00000011258",-0.722612872121441,4.96527702682156,211.156548995254,9.92803398707821e-42,"NO"
"ENSG00000011260",0.216032922632853,5.25607060173938,43.1849515427854,1.00885897705967e-10,"NO"
"ENSG00000011275",0.161464295721082,6.65512726250019,26.0373499496833,4.37945927248867e-07,"NO"
